length,width,fin_count,Simulation_temperature,Surface_temperature
30,30,25,84.24,62.33
30,30,7,80.37,62.4
30,30,13,82.19,62.34
30,30,19,84.14,62.34
30,30,25,84.25,62.29
30,43.75,2,79.8,62.32
30,43.75,7,78.57,62.41
30,43.75,13,80.77,62.39
30,43.75,19,81.96,62.36
30,43.75,25,82.15,62.32
30,57.5,2,77.93,62.36
30,57.5,7,77.24,62.45
30,57.5,13,79,62.44
30,57.5,19,80.14,62.42
30,57.5,25,80.11,62.36
30,71.25,2,76.41,62.35
30,71.25,7,76.22,62.44
30,71.25,13,77.45,62.42
30,71.25,19,78.32,62.38
30,71.25,25,78.34,62.33
30,85,2,75.24,62.36
30,85,7,75.23,62.44
30,85,13,76.09,62.41
30,85,19,76.84,62.39
30,85,25,76.77,62.32
55,30,2,79.84,62.22
55,30,7,76.68,62.47
55,30,13,77.51,62.45
55,30,19,79.64,62.43
55,30,25,80.69,62.39
55,43.75,2,77.68,62.38
55,43.75,7,75,62.56
55,43.75,13,76.35,62.56
55,43.75,19,78.17,62.55
55,43.75,25,79.07,62.53
55,57.5,2,75.78,62.38
55,57.5,7,73.88,62.59
55,57.5,13,75.12,62.6
55,57.5,19,76.64,62.57
55,57.5,25,77.24,62.54
55,71.25,2,74.28,62.33
55,71.25,7,72.89,62.54
55,71.25,13,74,62.56
55,71.25,19,75.18,62.52
55,71.25,25,75.58,62.48
55,85,2,73.14,62.31
55,85,7,72.13,62.51
55,85,13,72.99,62.51
55,85,19,73.96,62.47
55,85,25,74.18,62.42
80,30,2,78.07,62.33
80,30,7,75.3,62.55
80,30,13,74.75,62.64
80,30,19,76.15,62.59
80,30,25,77.16,62.57
80,43.75,2,76.41,62.71
80,43.75,7,73.94,62.82
80,43.75,13,73.92,62.89
80,43.75,19,75.27,62.88
80,43.75,25,76.23,62.88
80,57.5,2,74.54,62.69
80,57.5,7,72.74,62.84
80,57.5,13,72.92,62.94
80,57.5,19,74.11,62.92
80,57.5,25,74.88,62.9
80,71.25,2,73.09,62.6
80,71.25,7,71.7,62.77
80,71.25,13,72.03,62.89
80,71.25,19,73.02,62.87
80,71.25,25,73.55,62.84
80,85,2,72.01,62.59
80,85,7,70.96,62.74
80,85,13,71.29,62.87
80,85,19,72.1,62.83
80,85,25,72.45,62.79
105,30,2,76.48,62.29
105,30,7,74.2,62.53
105,30,13,73.37,62.66
105,30,19,73.85,62.66
105,30,25,74.56,62.64
105,43.75,2,74.82,62.67
105,43.75,7,72.79,62.77
105,43.75,13,72.27,62.88
105,43.75,19,72.94,62.89
105,43.75,25,73.63,62.87
105,57.5,2,73.09,62.67
105,57.5,7,71.6,62.82
105,57.5,13,71.34,62.95
105,57.5,19,72.03,62.98
105,57.5,25,72.57,62.97
105,71.25,2,71.68,62.57
105,71.25,7,70.53,62.73
105,71.25,13,70.48,62.9
105,71.25,19,71.12,62.97
105,71.25,25,71.51,62.96
105,85,2,70.82,62.64
105,85,7,69.94,62.78
105,85,13,69.97,63.01
105,85,19,70.5,63.08
105,85,25,70.8,63.09
130,30,2,75.25,62.19
130,30,7,73.4,62.44
130,30,13,72.5,62.57
130,30,19,72.54,62.6
130,30,25,73,62.61
130,43.75,2,73.53,62.45
130,43.75,7,71.98,62.61
130,43.75,13,71.26,62.71
130,43.75,19,71.53,62.74
130,43.75,25,71.86,62.71
130,57.5,2,71.89,62.43
130,57.5,7,70.72,62.62
130,57.5,13,70.31,62.74
130,57.5,19,70.65,62.79
130,57.5,25,70.98,62.78
130,71.25,2,70.72,62.42
130,71.25,7,69.79,62.59
130,71.25,13,69.55,62.72
130,71.25,19,69.93,62.81
130,71.25,25,70.15,62.8
130,85,2,69.72,62.37
130,85,7,69.03,62.54
130,85,13,68.92,62.7
130,85,19,69.25,62.8
130,85,25,69.35,62.78
